"Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","Hour","Day"
"2015-00004920",2015-01-26 13:48:00,"DWIGHT WAY / SHATTUCK AVE","T","",1,"OM2TCN","Other","Male","18-29","Traffic","Citation","No Search",13,"2"
"2015-00004921",2015-01-26 13:54:00,"2400 BLOCK TELEGRAPH AVE","1194","",1,"WM2RWN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Warning","No Search",13,"2"
"2015-00004922",2015-01-26 13:59:00,"DWIGHT WAY / ELLSWORTH ST","T","",1,"OF2TCN","Other","Female","18-29","Traffic","Citation","No Search",13,"2"
"2015-00004925",2015-01-26 14:03:00,"2400 BLOCK TELEGRAPH AVE","1194","",1,"WM2RWN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Warning","No Search",14,"2"
"2015-00004929",2015-01-26 14:14:00,"2500 BLOCK DWIGHT WAY","1194","",1,"WM4RWN","White","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",14,"2"
"2015-00004930",2015-01-26 14:15:00,"ASHBY AVE / SHATTUCK AVE","T","",1,"OM4TCN","Other","Male","40+","Traffic","Citation","No Search",14,"2"
"2015-00004931",2015-01-26 14:23:00,"DERBY ST / HILLEGASS AVE","1194","",1,"WM4RON","White","Male","40+","Probation/ Paroleeasonable Suspicion","Other","No Search",14,"2"
"2015-00004932",2015-01-26 14:30:00,"1400 BLOCK SHATTUCK AVE","1194","",1,"WM4ICN","White","Male","40+","Investigation","Citation","No Search",14,"2"
"2015-00004935",2015-01-26 14:35:00,"ASHBY AVE / SAN PABLO AVE","T","",1,"OM3TCN","Other","Male","30-39","Traffic","Citation","No Search",14,"2"
"2015-00004941",2015-01-26 14:59:00,"SHATTUCK AVE / KITTREDGE ST","1194","",1,"WM2RCN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",14,"2"
"2015-00004945",2015-01-26 15:12:00,"1800 BLOCK SAN PABLO AVE","1194","",1,"BM4RCN","Black","Male","40+","Probation/ Paroleeasonable Suspicion","Citation","No Search",15,"2"
"2015-00004964",2015-01-26 17:14:00,"2200 BLOCK SHATTUCK AVE","1194","",1,"WF2RWN","White","Female","18-29","Probation/ Paroleeasonable Suspicion","Warning","No Search",17,"2"
"2015-00004966",2015-01-26 17:19:00,"2200 BLOCK SHATTUCK AVE","1194","",1,"BF4RCN","Black","Female","40+","Probation/ Paroleeasonable Suspicion","Citation","No Search",17,"2"
"2015-00004968",2015-01-26 17:22:00,"SHATTUCK AVE / KITTREDGE ST","T","",1,"WF4TCN","White","Female","40+","Traffic","Citation","No Search",17,"2"
"2015-00004971",2015-01-26 17:34:00,"2000 BLOCK SHATTUCK AVE","1194","",1,"WM2RCN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",17,"2"
"2015-00004974",2015-01-26 17:49:00,"BANCROFT WAY / MILVIA ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",17,"2"
